trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
114,False,"{'a': 0.5, 'e': 0.42848480606401657}",35,0,-24.672479265451237,"{0: 28, 1: 3, 2: 4, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.42528319108227414}",20,0,-28.462899907042235,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
116,False,"{'a': 0.5, 'e': 0.42210549839216555}",20,8,6.338429393935733,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.418951549247639}",25,16,-6.039348754680512,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.4158211662382236}",20,2,-24.983371837526995,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.41271417327904963}",20,12,14.508646943663157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.409630395600944}",20,9,-105.94181746209091,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 3}",1
121,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,3,-109.69418291000146,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 3}",1
122,False,"{'a': 0.5, 'e': 0.4035317935308158}",25,0,-108.60960476517435,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
123,False,"{'a': 0.5, 'e': 0.40051662609081884}",25,0,-19.215194765946084,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.3975239878166446}",35,7,-66.735760881054,"{0: 22, 1: 1, 2: 2, 3: 2, 4: 1}",1
125,False,"{'a': 0.5, 'e': 0.39455371037160114}",25,12,-9.540405808891455,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.391605626676799}",20,10,15.19034032574019,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.38867957090175304}",25,0,-36.768367351679004,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.38577537845505433}",35,18,-23.40946763916728,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.38289288597511206}",25,6,-67.21860800124226,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 1}",1
130,False,"{'a': 0.5, 'e': 0.38003193132096413}",25,0,1.0533205063161644,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.37719235356315695}",20,11,3.6362382968186564,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.37437399297469287}",30,19,-41.390924972034085,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
133,False,"{'a': 0.5, 'e': 0.3715766910220457}",20,6,-18.193247161771254,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.36880029035624307}",20,13,3.63595938582612,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3660446348040154}",25,0,-82.21025671870947,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
136,False,"{'a': 0.5, 'e': 0.36330956935901126}",30,17,11.240245890708396,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.3605949401730783}",30,3,24.003692876364834,"{0: 24, 1: 2, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.35790059454760903}",25,7,0.4167392476162908,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.3552263809249515}",20,12,-39.90683173332576,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.3525721488798844}",20,0,17.83593213182567,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,8,-14.591761702491466,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.34732303343308274}",30,7,-58.86663124945549,"{0: 18, 1: 0, 2: 3, 3: 1, 4: 1}",1
143,False,"{'a': 0.5, 'e': 0.3447278547672202}",20,4,11.559547032564137,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.34215206713408347}",30,10,-40.594693145206534,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
